datetime,sizeMB,customer,server,_measurement
2024-10-10 12:10:36,678.45,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:11:36,651.01,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:12:37,704.37,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:13:37,668.47,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:14:37,679.79,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:15:37,679.75,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:16:37,693.05,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:17:37,651.7,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:18:37,736.11,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:19:37,705.25,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:20:37,641.85,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:21:37,978.44,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:22:37,792.11,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:23:37,664.82,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:24:37,683.64,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:25:37,791.1,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:26:37,701.0,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:27:37,657.04,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:28:37,638.1,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:29:38,651.59,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:30:38,658.67,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:31:38,660.13,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:32:38,694.69,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:33:38,704.03,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:34:38,940.82,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:35:38,700.38,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:36:38,783.77,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:37:38,831.45,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:38:38,1029.97,WilliamHill,gibux341.prod.williamhill.plc,vpcache
